"_id","container_cpu_system_seconds_total","container_cpu_usage_seconds_total","container_cpu_user_seconds_total","container_file_descriptors","container_fs_reads_bytes_total","container_fs_usage_bytes","container_fs_writes_bytes_total","container_last_seen","container_memory_cache","container_memory_failures_total","container_memory_max_usage_bytes","container_memory_rss","container_memory_usage_bytes","container_memory_working_set_bytes","container_network_receive_bytes_total","container_network_receive_packets_total","container_network_transmit_bytes_total","container_network_transmit_packets_total","container_processes","container_sockets","container_threads","net_in","net_out","timestamp"
"64d23ba604159b3ff4128917","0.00159634193081893","0.00859233624988595","0.00299739271890952","43","0","102400","61462.9955571579","5074497186","67444736","4.62346760070053","334381056","73121792","153665536","93110272","5410.19042717447","44.6474523932064","7736.23262995368","22.9027277406073","2","17","64","5410.19042717447","22.9027277406073","8/8/2023 12:51:09"
"64d23ba604159b3ff4128918","0.00158906693575957","0.00803180476682998","0.00526465700348177","43","0","102400","5551.19842223763","5074497366","67444736","6.82170542635659","334381056","73121792","153784320","93229056","4699.61642959885","38.9164136167492","6686.0316445581","19.9776250599329","2","17","64","4699.61642959885","19.9776250599329","8/8/2023 12:52:09"
"64d23ba604159b3ff4128919","0.00170981343058229","0.00888821921266066","0.00319588725171011","43","0","102400","34642.6470887674","5074497546","67444736","10.3055223026076","334381056","73121792","153673728","93118464","8306.24241858729","69.1424839040776","11684.0533731455","35.3643743584958","2","17","64","8306.24241858729","35.3643743584958","8/8/2023 12:53:09"
"64d23ba604159b3ff412891a","0.00121886960610558","0.00766082506316249","0.0030565128029544","43","0","102400","7004.78653900384","5074497726","67444736","4.08390569890477","334381056","73121792","153649152","93093888","6517.00644892865","53.2036613272311","9459.79821094238","27.7719991678802","2","17","64","6517.00644892865","27.7719991678802","8/8/2023 12:54:09"
"64d23ba604159b3ff412891b","0.00206884298717822","0.00923067881344132","0.00431616979329267","43","0","102400","5454.36865769112","5074497906","67444736","5.33678337511118","334381056","73121792","153649152","93093888","7412.32704402516","60.7127882599581","10685.3668763103","31.1949685534591","2","17","64","7412.32704402516","31.1949685534591","8/8/2023 12:55:09"
"64d23ba604159b3ff412891c","0.00168151285270467","0.00834959617994449","0.00606144502395145","43","0","102400","6920.2395419411","5074498086","67444736","6.57960322998704","334381056","73121792","153784320","93229056","6753.75054924361","55.3009854999686","9788.77659908355","28.8745213734229","2","17","64","6753.75054924361","28.8745213734229","8/8/2023 12:56:09"
"64d23ba604159b3ff412891d","0","0.00834877440881973","0.00447586612865338","43","0","102400","9717.42670197297","5074498266","67444736","6.40279394644936","334381056","73121792","153665536","93110272","7350.03328894807","60.2529960053262","10607.4400798935","31.0419440745672","2","17","64","7350.03328894807","31.0419440745672","8/8/2023 12:57:09"
"64d23d1104159b3ff41289eb","0.00110379504898172","0.00881259926552091","0.00551897524490879","43","0","102400","9042.28904125843","5074498446","67444736","7.12550607287449","334381056","73121792","153665536","93110272","7124.59728778003","57.9156364726156","10404.2106840489","30.5686671162059","2","17","64","7124.59728778003","30.5686671162059","8/8/2023 12:58:09"
"64d23d1104159b3ff41289ec","0.000539811066126844","0.00950590029531615","0.00132014661041091","43","0","102400","4325.85641299443","5074498626","67444736","7.12550607287449","334381056","73121792","153681920","93126656","8908.04511839845","73.5041458131023","12700.6050646149","37.8725629341899","2","17","64","8908.04511839845","37.8725629341899","8/8/2023 12:59:09"
"64d23d1104159b3ff41289ed","0.00129023933939755","0.00742002529129514","0.00249144054059861","43","0","102400","21794.4086141493","5074498806","67444736","7.92792792792793","334381056","73121792","153706496","93151232","3399.17782228312","28.3545904922526","4763.94012859703","14.3881100453252","2","17","64","3399.17782228312","14.3881100453252","8/8/2023 13:00:09"
