"_id","container_cpu_system_seconds_total","container_cpu_usage_seconds_total","container_cpu_user_seconds_total","container_file_descriptors","container_fs_reads_bytes_total","container_fs_usage_bytes","container_fs_writes_bytes_total","container_last_seen","container_memory_cache","container_memory_failures_total","container_memory_max_usage_bytes","container_memory_rss","container_memory_usage_bytes","container_memory_working_set_bytes","container_network_receive_bytes_total","container_network_receive_packets_total","container_network_transmit_bytes_total","container_network_transmit_packets_total","container_processes","container_sockets","container_threads","net_in","net_out","timestamp"
"64d23ba804159b3ff41289bf","0","0.00247826845901869","0.00160676336607484","11","0","8282112","0","5074497186","15679488","0","46325760","15056896","39919616","24240128","6142.14749713412","24.9012864603235","4879.95159852248","20.7616864093746","2","4","30","6142.14749713412","20.7616864093746","8/8/2023 12:51:09"
"64d23ba804159b3ff41289c0","0.00103813412692921","0.00333332186404867","0.00163797816747879","10","0","8310784","0","5074497366","15679488","0","46325760","15056896","39919616","24240128","6822.3734211574","26.9986609243241","5434.87387354783","21.968079331186","2","3","30","6822.3734211574","21.968079331186","8/8/2023 12:52:09"
"64d23ba804159b3ff41289c1","0.000629603979097134","0.00461409572973186","0.00183894005359221","10","0","8343552","0","5074497546","15679488","0","46325760","15056896","39927808","24248320","8910.17406683422","35.9303732663129","6785.90710229917","30.3453411523783","2","3","30","8910.17406683422","30.3453411523783","8/8/2023 12:53:09"
"64d23ba804159b3ff41289c2","0.000372522723886182","0.0026414677354043","0.00150503936782106","10","0","8376320","0","5074497726","15679488","0","46325760","15056896","39927808","24248320","5262.53631426045","23.8095238095238","4510.7995452823","20.5254515599343","2","3","30","5262.53631426045","20.5254515599343","8/8/2023 12:54:09"
"64d23ba804159b3ff41289c3","0.00226278439517399","0.00245690336431497","0.000780883960643432","10","0","8409088","0","5074497906","15679488","0","46325760","15056896","39936000","24256512","7018.41206365075","29.4926268432892","5820.12830125802","24.9937515621095","2","3","30","7018.41206365075","24.9937515621095","8/8/2023 12:55:09"
"64d23ba804159b3ff41289c4","0","0.00319878016904665","0.00106926155022033","10","0","8437760","0","5074498086","15679488","0","46325760","15056896","39936000","24256512","2066.84698608964","7.63137557959814","1673.29984544049","6.2789799072643","2","3","30","2066.84698608964","6.2789799072643","8/8/2023 12:56:09"
"64d23ba804159b3ff41289c5","0.000728703636231129","0.00252253094949883","0","11","0","8466432","0","5074498266","15679488","0","46325760","15056896","39936000","24256512","6590.40997985836","28.7180819959717","5357.09180690014","24.7547267883828","2","4","30","6590.40997985836","24.7547267883828","8/8/2023 12:57:09"
"64d23d1104159b3ff4128a51","0.000754375377187673","0.00240229207212026","0.00166338364916293","10","0","8491008","0","5074498446","15679488","0","46325760","15056896","39952384","24272896","1938.80321986228","12.6078944816216","1857.72475996509","11.8320240519833","2","3","30","1938.80321986228","11.8320240519833","8/8/2023 12:58:09"
"64d23d1104159b3ff4128a52","0.000685635927322577","0.00319375108312348","0","10","0","8523776","0","5074498626","15679488","0","46325760","15056896","39960576","24281088","6890.15367103017","30.3927148548662","5588.27546955037","26.3517359134889","2","3","30","6890.15367103017","26.3517359134889","8/8/2023 12:59:09"
"64d23d1104159b3ff4128a53","0","0.00107920609949211","0.000618390946756526","10","0","8548352","0","5074498806","15679488","0","46325760","15056896","39960576","24281088","3020.46828965731","13.3354008373391","2907.58257094123","11.1645216312607","2","3","30","3020.46828965731","11.1645216312607","8/8/2023 13:00:09"
