"_id","container_cpu_system_seconds_total","container_cpu_usage_seconds_total","container_cpu_user_seconds_total","container_file_descriptors","container_fs_reads_bytes_total","container_fs_usage_bytes","container_fs_writes_bytes_total","container_last_seen","container_memory_cache","container_memory_failures_total","container_memory_max_usage_bytes","container_memory_rss","container_memory_usage_bytes","container_memory_working_set_bytes","container_network_receive_bytes_total","container_network_receive_packets_total","container_network_transmit_bytes_total","container_network_transmit_packets_total","container_processes","container_sockets","container_threads","net_in","net_out","timestamp"
"64d23ba704159b3ff4128995","0.00114533763041504","0.00677526095983808","0.00458135052166099","43","0","2170880","0","5074497186","40550400","0","730222592","656097280","711946240","696537088","2248.84753286666","10.3295202322008","3169.19924876216","12.1222468840703","3","10","109","2248.84753286666","12.1222468840703","8/8/2023 12:51:09"
"64d23ba704159b3ff4128996","0.00189233000772295","0.00471028656290232","0.00440814028229509","45","0","2183168","0","5074497366","40550400","8.22993952241412","730222592","656097280","711954432","696545280","170.276517421454","1.1129184145193","219.159318551494","1.71218217618355","3","12","109","170.276517421454","1.71218217618355","8/8/2023 12:52:09"
"64d23ba704159b3ff4128997","0.0020514330734623","0.00673587328575167","0.00681742953902329","43","0","2187264","0","5074497546","40550400","13.621353880022","730222592","656007168","711917568","696508416","2445.22590016054","8.79137680605458","3520.83174069261","9.32650408990138","3","10","110","2445.22590016054","9.32650408990138","8/8/2023 12:53:09"
"64d23ba704159b3ff4128998","0.000696039535045576","0.00554964618205282","0.00608809961811511","39","0","2195456","0","5074497726","40550400","4.5938609313009","730222592","656007168","711725056","696315904","1237.38008222933","6.28140703517588","1779.52261306533","7.9945180447693","3","6","109","1237.38008222933","7.9945180447693","8/8/2023 12:54:09"
"64d23ba704159b3ff4128999","0.00113117630589603","0.0335887236286048","0.0313266840476636","39","0","2203648","0","5074497906","40550400","1512.74371982153","731697152","659058688","714874880","699465728","1586.69210589077","6.0418157246204","2298.11590746482","7.15478177915574","3","6","109","1586.69210589077","7.15478177915574","8/8/2023 12:55:09"
"64d23ba704159b3ff412899a","0","0.00519378156943637","0.00192956950811406","39","0","2207744","0","5074498086","40550400","5.48081714000997","733171712","661479424","717344768","701935616","846.646681949098","5.52518662199494","1204.66701933815","7.34732263563158","3","6","109","846.646681949098","7.34732263563158","8/8/2023 12:56:09"
"64d23ba704159b3ff412899b","0.00203383612045492","0.00641475368727077","0.00477572825342665","43","0","2220032","0","5074498266","40550400","10.977130977131","733171712","661479424","717377536","701968384","675.494157475156","3.16697608387026","966.255323796003","3.98602162280223","3","10","109","675.494157475156","3.98602162280223","8/8/2023 12:57:09"
"64d23d1104159b3ff4128a39","0.000581665891112133","0.00733905296857486","0.00670887673436932","39","0","2228224","0","5074498446","40550400","15.0501672240803","733171712","661479424","717447168","702038016","311.394450929335","1.79581574930412","396.246745083954","2.51414204902577","3","6","108","311.394450929335","2.51414204902577","8/8/2023 12:58:09"
"64d23d1104159b3ff4128a3a","0.00139876583362335","0.00513124536813078","0.00501507241455899","39","0","2240512","0","5074498626","40550400","14.6357689322541","733171712","660996096","716816384","701407232","1588.73109930527","7.30486309767062","2307.11074785452","8.63302002451982","3","6","108","1588.73109930527","8.63302002451982","8/8/2023 12:59:09"
"64d23d1104159b3ff4128a3b","0","0.00251185427610867","0","39","0","2240512","0","5074498806","40550400","0","733171712","660996096","716816384","701407232","1679.21582234559","8.58778625954198","2397.81401804303","10.235947258848","3","6","108","1679.21582234559","10.235947258848","8/8/2023 13:00:09"
