"_id","container_cpu_system_seconds_total","container_cpu_usage_seconds_total","container_cpu_user_seconds_total","container_file_descriptors","container_fs_reads_bytes_total","container_fs_usage_bytes","container_fs_writes_bytes_total","container_last_seen","container_memory_cache","container_memory_failures_total","container_memory_max_usage_bytes","container_memory_rss","container_memory_usage_bytes","container_memory_working_set_bytes","container_network_receive_bytes_total","container_network_receive_packets_total","container_network_transmit_bytes_total","container_network_transmit_packets_total","container_processes","container_sockets","container_threads","net_in","net_out","timestamp"
"64d23ba604159b3ff4128902","0.00140665490661961","0.00281436852382699","0.00103852944230967","12","0","131072","0","5074497186","0","0","18411520","3883008","12812288","12812288","1162.69841269841","11.6279069767442","761.535622000738","5.81395348837209","2","3","12","1162.69841269841","5.81395348837209","8/8/2023 12:51:09"
"64d23ba604159b3ff4128903","0.00194890749170206","0.00267921508864767","0.00194890749170221","12","0","131072","0","5074497366","0","0","18411520","3883008","12812288","12812288","5057.79036827196","50.2549575070822","3418.01699716714","26.2889518413598","2","3","12","5057.79036827196","26.2889518413598","8/8/2023 12:52:09"
"64d23ba604159b3ff4128904","0.00371928245095421","0.00434787164096405","0.00299980622964328","12","0","131072","0","5074497546","0","0","18411520","3883008","12812288","12812288","6606.83760683761","64.4586894586895","4667.09401709402","35.8974358974359","2","3","12","6606.83760683761","35.8974358974359","8/8/2023 12:53:09"
"64d23ba604159b3ff4128905","0.00231797921137882","0.00346888843995758","0.000832154447865506","12","0","131072","438.168592212238","5074497726","0","0","18411520","3792896","12812288","12812288","6543.95977714363","64.886533496399","4518.14105177334","34.7193912216334","2","3","12","6543.95977714363","34.7193912216334","8/8/2023 12:54:09"
"64d23ba604159b3ff4128906","0.002610148256421","0.00373347259934095","0.000522029651284182","12","0","131072","0","5074497906","0","0","18411520","3702784","12812288","12812288","6645.29576654927","65.6939552936103","4616.11442535758","35.506360957378","2","3","12","6645.29576654927","35.506360957378","8/8/2023 12:55:09"
"64d23ba604159b3ff4128907","0.000679763442321937","0.00283324000865313","0.00133122924036765","12","0","131072","0","5074498086","0","0","18411520","3702784","12812288","12812288","6208.75306289137","61.4620201470188","4282.94309828478","32.9430982847808","2","3","12","6208.75306289137","32.9430982847808","8/8/2023 12:56:09"
"64d23ba604159b3ff4128908","0.00198899757433955","0.00410477536403699","0.00062865405167535","12","0","131072","0","5074498266","0","0","18411520","3702784","12812288","12812288","6375.35833731486","61.6340181557573","4614.60821786909","35.5351170568562","2","3","12","6375.35833731486","35.5351170568562","8/8/2023 12:57:09"
"64d23d1104159b3ff41289d3","0.000870170553428608","0.00428681912985857","0.000717154331612148","12","0","131072","0","5074498446","0","0","18411520","3702784","12812288","12812288","6451.85469921199","64.3859311935422","4323.08283682491","33.2500480492024","2","3","12","6451.85469921199","33.2500480492024","8/8/2023 12:58:09"
"64d23d1104159b3ff41289d4","0.00410405710148205","0.00478890005806425","0.00166729478650595","12","0","131072","0","5074498626","0","0","18411520","3702784","12812288","12812288","4042.29720335811","40.2117533821721","2783.00625634993","21.442703598738","2","3","12","4042.29720335811","21.442703598738","8/8/2023 12:59:09"
"64d23d1104159b3ff41289d5","0.00114956899262977","0.00204012182999611","0.0017450906696188","12","0","131072","0","5074498806","0","0","18411520","3694592","12812288","12812288","5542.42105263158","55.2105263157895","3861.15789473684","29.7368421052632","2","3","12","5542.42105263158","29.7368421052632","8/8/2023 13:00:09"
